name,pos,ang,sca
1st_ie.X,-115.41/111.4/438.31,0/0/0/1,1/1/1,0
coll,0.1000214/-0.7250023/-0.374999,0/0/0/1,8.75/8.75/8.75,1
1st_ie.X,-150.258/109.75/435.7887,0/-0.6978522/0/0.7162418,0.4/0.4/0.4,0
coll,0.1000214/-0.7250023/-0.374999,0/-0.6978522/0/0.7162418,3.5/3.5/3.5,1
1st_ie.X,-150.437/110.56/430.7159,0/-0.6978522/0/0.7162418,0.4000001/0.4/0.4000001,0
coll,0.1000214/-0.7250023/-0.374999,0/-0.6978522/0/0.7162418,3.500001/3.5/3.500001,1
1st_ie.X,-150.52/110.56/425.77,0/-0.6978522/0/0.7162418,0.4000001/0.4/0.4000001,0
coll,0.1000214/-0.7250023/-0.374999,0/-0.6978522/0/0.7162418,3.500001/3.5/3.500001,1
1st_ie.X,-137.64/109.19/448.5,0/0.03955657/0/0.9992173,0.4000001/0.4/0.4000001,0
coll,0.1000214/-0.7250023/-0.374999,0/0.03955657/0/0.9992173,3.500001/3.5/3.500001,1
1st_ie.X,-101.8128/108.55/420.6358,0/0.728948/0/0.6845691,0.4000002/0.4/0.4000002,0
coll,0.1000214/-0.7250023/-0.374999,0/0.728948/0/0.6845691,3.500001/3.5/3.500001,1
1st_ie.X,-101.4/108.55/426.99,0/0.728948/0/0.6845691,0.4000002/0.4/0.4000002,0
coll,0.1000214/-0.7250023/-0.374999,0/0.728948/0/0.6845691,3.500001/3.5/3.500001,1
Bridge.X,-175.1/102.45/361.11,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
1st_saku.X,-118.6/109.72/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-126.99/111.28/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-135.44/111.93/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-147.99/111.61/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-156.32/111.56/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-157.92/110.41/452.77,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/439.71,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/426.98,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/418.76,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/410.5,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-147.36/110.4/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-143.2/110.4/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-130.68/110.4/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-122.33/109.62/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-113.99/108.8/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-96.10001/108.8/415.3,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-96.10001/108.8/423.55,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-96.10001/108.8/431.79,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
